Date,Country,State,Activity,Sex,Age,Deceased,standarized_country,Month,Year,Decade,Season
2022-09-01,south africa,WESTERN CAPE PROVINCE,swimming,F,39.0,Y,South Africa,September,2022.0,2020.0,Spring
2022-09-01,bahamas,,diving,F,58.0,Y,Bahamas,September,2022.0,2020.0,Autumn
2022-09-01,usa,HAWAII,swimming,F,51.0,N,United States,September,2022.0,2020.0,Autumn
2022-08-01,australia,NEW SOUTH WALES,surfing,M,14.0,N,Australia,August,2022.0,2020.0,Winter
2022-08-01,australia,NEW SOUTH WALES,kayaking,M,,N,Australia,August,2022.0,2020.0,Winter
2022-08-01,usa,SOUTH CAROLINA,swimming,F,,N,United States,August,2022.0,2020.0,Summer
2022-08-01,usa,SOUTH CAROLINA,Unspecific,F,,N,United States,August,2022.0,2020.0,Summer
2022-08-01,australia,WESTERM AUSTRALIA,fishing,M,17.0,N,Australia,August,2022.0,2020.0,Winter
2022-08-01,usa,FLORIDA,diving,M,10.0,N,United States,August,2022.0,2020.0,Summer
2022-08-01,usa,CALIFORNIA,kayaking,M,,N,United States,August,2022.0,2020.0,Summer
2022-07-01,england,CORNWALL,diving,F,,N,United Kingdom,July,2022.0,2020.0,Summer
2022-07-01,usa,FLORIDA,Unspecific,M,13.0,N,United States,July,2022.0,2020.0,Summer
2022-07-01,usa,FLORIDA,wading,M,33.0,N,United States,July,2022.0,2020.0,Summer
2022-07-01,usa,NEW YORK,surfing,M,16.0,N,United States,July,2022.0,2020.0,Summer
2022-07-01,usa,FLORIDA,Unspecific,UNKNOWN,,N,United States,July,2022.0,2020.0,Summer
2022-07-01,usa,NOIRTH CAROLINA,surfing,F,,N,United States,July,2022.0,2020.0,Summer
2022-07-01,usa,FLORIDA,fishing,M,,N,United States,July,2022.0,2020.0,Summer
2022-07-01,usa,FLORIDA,Unspecific,F,40.0,N,United States,July,2022.0,2020.0,Summer
2022-07-01,usa,NEW YORK,Unspecific,M,49.0,N,United States,July,2022.0,2020.0,Summer
2022-07-01,usa,NEW YORK,surfing,M,41.0,N,United States,July,2022.0,2020.0,Summer
2022-07-01,usa,FLORIDA,surfing,M,,N,United States,July,2022.0,2020.0,Summer
2022-07-01,usa,NEW YORK,Unspecific,M,17.0,N,United States,July,2022.0,2020.0,Summer
2022-07-01,japan,OKINAWA,diving,M,60.0,Y,Japan,July,2022.0,2020.0,Unknown
2022-07-01,usa,FLORIDA,surfing,M,28.0,N,United States,July,2022.0,2020.0,Summer
2022-07-01,usa,NEW YORK,Unspecific,M,,N,United States,July,2022.0,2020.0,Summer
2022-07-01,indonesia,BALI,surfing,F,,N,Indonesia,July,2022.0,2020.0,Unknown
2022-07-01,egypt,"HURGHADA, RED SEA GOVERNORATE",diving,F,,Y,Egypt,July,2022.0,2020.0,Unknown
2022-07-01,egypt,"HURGHADA, RED SEA GOVERNORATE",swimming,F,68.0,Y,Egypt,July,2022.0,2020.0,Unknown
2022-06-01,usa,NEW YORK,swimming,M,,N,United States,June,2022.0,2020.0,Summer
2022-06-01,usa,FLORIDA,Unspecific,F,17.0,N,United States,June,2022.0,2020.0,Summer
2022-06-01,usa,FLORIDA,swimming,F,35.0,N,United States,June,2022.0,2020.0,Summer
2022-06-01,usa,FLORIDA,Unspecific,M,,N,United States,June,2022.0,2020.0,Summer
2022-06-01,south africa,WESTERN CAPE PROVINCE,swimming,M,,Y,South Africa,June,2022.0,2020.0,Winter
2022-06-01,jamaica,,fishing,M,,N,Jamaica,June,2022.0,2020.0,Summer
2022-06-01,usa,FLORIDA,Unspecific,F,,N,United States,June,2022.0,2020.0,Summer
2022-06-01,usa,CALIFORNIA,swimming,M,62.0,N,United States,June,2022.0,2020.0,Summer
2022-06-01,usa,SOUTH CAROLINA,Unspecific,M,,N,United States,June,2022.0,2020.0,Summer
2022-06-01,australia,WESTERN AUSTRALIA,swimming,F,,N,Australia,June,2022.0,2020.0,Winter
2022-05-01,australia,WESTERN AUSTRALIA,surfing,UNKNOWN,,N,Australia,May,2022.0,2020.0,Autumn
2022-05-01,australia,WESTERN AUSTRALIA,diving,M,20.0,N,Australia,May,2022.0,2020.0,Autumn
2022-05-01,belize,AMBERGRIS CAY,fishing,M,,N,Belize,May,2022.0,2020.0,Spring
2022-05-01,maldives,,fishing,M,62.0,N,Maldives,May,2022.0,2020.0,Autumn
2022-05-01,usa,GEORGIA,fishing,M,,N,United States,May,2022.0,2020.0,Spring
2022-05-01,thailand,PHUKET,Unspecific,M,8.0,N,Thailand,May,2022.0,2020.0,Unknown
2022-04-01,french polynesia,TAHITI,Unspecific,M,22.0,N,French Polynesia,April,2022.0,2020.0,Unknown
2022-04-01,australia,,kayaking,M,32.0,N,Australia,April,2022.0,2020.0,Autumn
2022-04-01,usa,FLORIDA,Unspecific,M,56.0,N,United States,April,2022.0,2020.0,Spring
2022-04-01,usa,ALABAMA,swimming,M,17.0,N,United States,April,2022.0,2020.0,Spring
2022-04-01,usa,FLORIDA,Unspecific,M,,N,United States,April,2022.0,2020.0,Spring
2022-04-01,usa,NEW JERSEY,Unspecific,F,12.0,N,United States,April,2022.0,2020.0,Spring
2022-04-01,usa,FLORIDA,kayaking,M,,N,United States,April,2022.0,2020.0,Spring
2022-04-01,south africa,KZN,Unspecific,M,,UNKNOWN,South Africa,April,2022.0,2020.0,Autumn
2022-03-01,usa,FLORIDA,fishing,M,,N,United States,March,2022.0,2020.0,Spring
2022-03-01,columbia,ISLA DE SAN ANDRES,swimming,M,56.0,Y,Colombia,March,2022.0,2020.0,Unknown
2022-03-01,new zealand,SOUTH ISLAND,surfing,M,,N,New Zealand,March,2022.0,2020.0,Autumn
2022-03-01,australia,NEW SOUTH WALES,surfing,M,32.0,N,Australia,March,2022.0,2020.0,Autumn
2022-03-01,australia,NEW SOUTH WALES,swimming,M,,N,Australia,March,2022.0,2020.0,Autumn
2022-03-01,usa,FLORIDA,surfing,M,20.0,N,United States,March,2022.0,2020.0,Spring
2022-03-01,usa,FLORIDA,fishing,M,21.0,N,United States,March,2022.0,2020.0,Spring
2022-03-01,australia,NEW SOUTH WALES,surfing,M,,N,Australia,March,2022.0,2020.0,Autumn
2022-02-01,bahamas,GRAND  BAHAMA ISLAND,diving,M,51.0,N,Bahamas,February,2022.0,2020.0,Winter
2022-02-01,australia,QUEENSLAND,Unspecific,M,,N,Australia,February,2022.0,2020.0,Summer
2022-02-01,australia,NEW SOUTH WALES,swimming,M,36.0,Y,Australia,February,2022.0,2020.0,Summer
2022-02-01,mexico,SONORA,surfing,M,56.0,Y,Mexico,February,2022.0,2020.0,Winter
2022-02-01,usa,FLORIDA,surfing,M,18.0,N,United States,February,2022.0,2020.0,Winter
2022-02-01,bahamas,,Unspecific,F,37.0,N,Bahamas,February,2022.0,2020.0,Winter
2022-02-01,costa rica,GUANACOSTE,diving,F,50.0,UNKNOWN,Costa Rica,February,2022.0,2020.0,Winter
2022-02-01,australia,WESTERN AUSTRALIA,Unspecific,F,20.0,N,Australia,February,2022.0,2020.0,Summer
