Date,Country,State,Activity,Sex,Age,Deceased,Month,Year
2022-09-01,south africa,WESTERN CAPE PROVINCE,swimming,F,39.0,Y,September,2022.0
2022-09-01,bahamas,,diving,F,58.0,Y,September,2022.0
2022-09-01,usa,HAWAII,swimming,F,51.0,N,September,2022.0
2022-08-01,australia,NEW SOUTH WALES,surfing,M,14.0,N,August,2022.0
2022-08-01,australia,NEW SOUTH WALES,kayaking,M,,N,August,2022.0
2022-08-01,usa,SOUTH CAROLINA,swimming,F,,N,August,2022.0
2022-08-01,usa,SOUTH CAROLINA,Unspecific,F,,N,August,2022.0
2022-08-01,australia,WESTERM AUSTRALIA,fishing,M,17.0,N,August,2022.0
2022-08-01,usa,FLORIDA,diving,M,10.0,N,August,2022.0
2022-08-01,usa,CALIFORNIA,kayaking,M,,N,August,2022.0
2022-07-01,england,CORNWALL,diving,F,,N,July,2022.0
2022-07-01,usa,FLORIDA,Unspecific,M,13.0,N,July,2022.0
2022-07-01,usa,FLORIDA,wading,M,33.0,N,July,2022.0
2022-07-01,usa,NEW YORK,surfing,M,16.0,N,July,2022.0
2022-07-01,usa,FLORIDA,Unspecific,Unknown,,N,July,2022.0
2022-07-01,usa,NOIRTH CAROLINA,surfing,F,,N,July,2022.0
2022-07-01,usa,FLORIDA,fishing,M,,N,July,2022.0
2022-07-01,usa,FLORIDA,Unspecific,F,40.0,N,July,2022.0
2022-07-01,usa,NEW YORK,Unspecific,M,49.0,N,July,2022.0
2022-07-01,usa,NEW YORK,surfing,M,41.0,N,July,2022.0
2022-07-01,usa,FLORIDA,surfing,M,,N,July,2022.0
2022-07-01,usa,NEW YORK,Unspecific,M,17.0,N,July,2022.0
2022-07-01,japan,OKINAWA,diving,M,60.0,Y,July,2022.0
2022-07-01,usa,FLORIDA,surfing,M,28.0,N,July,2022.0
2022-07-01,usa,NEW YORK,Unspecific,M,,N,July,2022.0
2022-07-01,indonesia,BALI,surfing,F,,N,July,2022.0
2022-07-01,egypt,"HURGHADA, RED SEA GOVERNORATE",diving,F,,Y,July,2022.0
2022-07-01,egypt,"HURGHADA, RED SEA GOVERNORATE",swimming,F,68.0,Y,July,2022.0
2022-06-01,usa,NEW YORK,swimming,M,,N,June,2022.0
